timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1627476984064,1486,https://twitter.com/sessions-6,304,Not Modified,Thread Group 1-1,,true,,594,656,5,5,https://abs.twimg.com/responsive-web/client-web/main.1ad07545.js,0,0,1060
1627476985414,309,https://twitter.com/i/api/1.1/dm/inbox_initial_state.json?include_profile_interstitial_type=1&include_blocking=1&include_blocked_by=1&include_followed_by=1&include_want_retweets=1&include_mute_edge=1&include_can_dm=1&include_can_media_tag=1&skip_status=1&cards_platform=Web-12&include_cards=1&include_ext_alt_text=true&include_quote_count=true&include_reply_count=1&tweet_mode=extended&dm_users=true&include_groups=true&include_inbox_timelines=true&include_ext_media_color=true&supports_reactions=true&muting_enabled=false&nsfw_filtering_enabled=false&filter_low_quality=true&include_quality=all&ext=mediaColor%2CaltText%2CmediaStats%2ChighlightedLabel%2CvoiceInfo,403,Forbidden,Thread Group 1-3,,false,,297,1746,5,5,https://twitter.com/i/api/1.1/dm/inbox_initial_state.json?include_cards=1&include_followed_by=1&filter_low_quality=true&include_blocked_by=1&include_groups=true&include_reply_count=1&muting_enabled=false&include_inbox_timelines=true&include_quote_count=true&tweet_mode=extended&include_quality=all&include_blocking=1&include_profile_interstitial_type=1&ext=mediaColor%2CaltText%2CmediaStats%2ChighlightedLabel%2CvoiceInfo&nsfw_filtering_enabled=false&include_mute_edge=1&supports_reactions=true&include_want_retweets=1&include_ext_media_color=true&dm_users=true&include_ext_alt_text=true&include_can_dm=1&skip_status=1&cards_platform=Web-12&include_can_media_tag=1,309,0,0
1627476985548,310,https://api.twitter.com/1.1/jot/client_event.json,405,Method Not Allowed,Thread Group 1-2,,false,,237,2329,5,5,https://api.twitter.com/1.1/jot/client_event.json,310,0,0
1627476985522,339,https://twitter.com/i/api/1.1/dm/inbox_initial_state.json?include_profile_interstitial_type=1&include_blocking=1&include_blocked_by=1&include_followed_by=1&include_want_retweets=1&include_mute_edge=1&include_can_dm=1&include_can_media_tag=1&skip_status=1&cards_platform=Web-12&include_cards=1&include_ext_alt_text=true&include_quote_count=true&include_reply_count=1&tweet_mode=extended&dm_users=true&include_groups=true&include_inbox_timelines=true&include_ext_media_color=true&supports_reactions=true&muting_enabled=false&nsfw_filtering_enabled=false&filter_low_quality=true&include_quality=all&ext=mediaColor%2CaltText%2CmediaStats%2ChighlightedLabel%2CvoiceInfo,403,Forbidden,Thread Group 1-4,,false,,297,1746,5,5,https://twitter.com/i/api/1.1/dm/inbox_initial_state.json?include_cards=1&include_followed_by=1&filter_low_quality=true&include_blocked_by=1&include_groups=true&include_reply_count=1&muting_enabled=false&include_inbox_timelines=true&include_quote_count=true&tweet_mode=extended&include_quality=all&include_blocking=1&include_profile_interstitial_type=1&ext=mediaColor%2CaltText%2CmediaStats%2ChighlightedLabel%2CvoiceInfo&nsfw_filtering_enabled=false&include_mute_edge=1&supports_reactions=true&include_want_retweets=1&include_ext_media_color=true&dm_users=true&include_ext_alt_text=true&include_can_dm=1&skip_status=1&cards_platform=Web-12&include_can_media_tag=1,339,0,0
1627476983198,2682,https://twitter.com/sessions,200,OK,Thread Group 1-5,text,true,,78284,5064,5,5,https://twitter.com/login/error?username_or_email=Samrat_Ghosh_&redirect_after_login=%2F,334,0,0
1627476983198,334,https://twitter.com/sessions-0,302,Found,Thread Group 1-5,text,true,,1952,818,5,5,https://twitter.com/sessions,334,0,0
1627476983533,880,https://twitter.com/sessions-1,200,OK,Thread Group 1-5,text,true,,73453,978,5,5,https://twitter.com/login/error?username_or_email=Samrat_Ghosh_&redirect_after_login=%2F,376,0,0
1627476984416,1442,https://twitter.com/sessions-2,304,Not Modified,Thread Group 1-5,,true,,504,628,5,5,https://abs.twimg.com/favicons/twitter.ico,0,0,1001
1627476984416,1443,https://twitter.com/sessions-3,304,Not Modified,Thread Group 1-5,,true,,593,661,5,5,https://abs.twimg.com/responsive-web/client-web/polyfills.8133b945.js,0,0,1001
1627476984416,1464,https://twitter.com/sessions-4,304,Not Modified,Thread Group 1-5,,true,,594,664,5,5,https://abs.twimg.com/responsive-web/client-web/vendors~main.52781955.js,0,0,1002
